"Site Time","Nextracker 01: Tracker Position 1 (TrackerPos1) Degrees","Nextracker 01: Tracker Position 2 (TrackerPos2) Degrees","Nextracker 01: Tracker Position 3 (TrackerPos3) Degrees"
12-04-2024 07:00:00,57.21,57.412,57.305
12-04-2024 07:15:00,57.21,57.362,57.32
12-04-2024 07:30:00,19.99,20.148,20.187
12-04-2024 07:45:00,-0.58,-0.36,-0.331
12-04-2024 08:00:00,-14.996,-14.385,-14.962
12-04-2024 08:15:00,-25.844,-26.064,-26.371
12-04-2024 08:30:00,-39.54,-39.871,-39.74
12-04-2024 08:45:00,-58.054,-58.199,-58.164
12-04-2024 09:00:00,-60.446,-60.62,-60.51
12-04-2024 09:15:00,-60.51,-60.62,-60.51
12-04-2024 09:30:00,-60.51,-60.652,-60.51
12-04-2024 09:45:00,-59.527,-59.563,-59.58
12-04-2024 10:00:00,-55.558,-54.941,-54.996
12-04-2024 10:15:00,-49.686,-49.736,-49.832
12-04-2024 10:30:00,30.53,29.42,29.005
12-04-2024 10:45:00,57.002,57.664,57.286
12-04-2024 11:00:00,40.043,39.961,39.562
12-04-2024 11:15:00,17.676,36.855,33.543
12-04-2024 11:30:00,57.223,57.252,57.271
12-04-2024 11:45:00,51.705,45.449,44.279
12-04-2024 12:00:00,57.315,57.351,57.272
12-04-2024 12:15:00,57.468,57.354,57.296
12-04-2024 12:30:00,57.266,57.311,57.365
12-04-2024 12:45:00,50.141,47.778,46.428
12-04-2024 13:00:00,38.151,37.424,37.582
12-04-2024 13:15:00,57.137,57.183,57.164
12-04-2024 13:30:00,55.435,55.555,55.526
12-04-2024 13:45:00,51.42,51.894,51.621
12-04-2024 14:00:00,55.907,55.924,55.722
12-04-2024 14:15:00,56.544,56.67,56.763
12-04-2024 14:30:00,56.584,56.883,56.858
12-04-2024 14:45:00,57.257,58.13,58.079
12-04-2024 15:00:00,56.539,56.587,56.56
12-04-2024 15:15:00,53.973,51.919,53.905
12-04-2024 15:30:00,37.957,35.031,33.34
12-04-2024 15:45:00,51.133,55.159,49.82
12-04-2024 16:00:00,57.315,57.555,57.21
12-04-2024 16:15:00,57.343,55.118,50.43
12-04-2024 16:30:00,57.279,55.528,54.448
12-04-2024 16:45:00,57.366,57.378,57.492
12-04-2024 17:00:00,57.274,57.384,57.444
12-04-2024 17:15:00,57.206,57.376,57.565
12-04-2024 17:30:00,57.209,57.406,57.479
12-04-2024 17:45:00,57.248,57.406,57.469
12-04-2024 18:00:00,57.211,57.384,57.43
12-04-2024 18:15:00,57.175,57.384,57.449
12-04-2024 18:30:00,57.215,57.369,57.469
12-04-2024 18:45:00,57.237,57.344,57.43
12-04-2024 19:00:00,57.214,57.393,57.43
12-04-2024 19:15:00,57.318,57.344,57.43
12-04-2024 19:30:00,57.262,57.344,57.43
12-04-2024 19:45:00,57.237,57.344,57.43
12-04-2024 20:00:00,57.179,57.362,57.43
12-04-2024 20:15:00,57.237,57.329,57.43
12-04-2024 20:30:00,57.133,57.363,57.412
12-04-2024 20:45:00,57.25,57.388,57.42
12-04-2024 21:00:00,57.252,57.345,57.43
12-04-2024 21:15:00,57.269,57.344,57.43
12-04-2024 21:30:00,57.14,57.32,57.43
12-04-2024 21:45:00,57.2,57.345,57.449
12-04-2024 22:00:00,57.259,57.32,57.445
12-04-2024 22:15:00,57.249,57.32,57.43
12-04-2024 22:30:00,57.21,57.32,57.43
12-04-2024 22:45:00,57.21,57.32,57.449
12-04-2024 23:00:00,57.183,57.32,57.445
12-04-2024 23:15:00,57.21,57.339,57.43
12-04-2024 23:30:00,57.203,57.385,57.43
12-04-2024 23:45:00,57.237,57.339,57.43
12-05-2024 00:00:00,57.21,57.335,57.454
12-05-2024 00:15:00,57.21,57.383,57.406
12-05-2024 00:30:00,57.21,57.32,57.43
12-05-2024 00:45:00,57.21,57.339,57.43
12-05-2024 01:00:00,57.21,57.335,57.43
12-05-2024 01:15:00,57.21,57.32,57.43
12-05-2024 01:30:00,57.235,57.32,57.43
12-05-2024 01:45:00,57.185,57.32,57.43
12-05-2024 02:00:00,57.21,57.366,57.43
12-05-2024 02:15:00,57.189,57.347,57.386
12-05-2024 02:30:00,57.194,57.342,57.415
12-05-2024 02:45:00,57.234,57.35,57.43
12-05-2024 03:00:00,57.21,57.32,57.43
12-05-2024 03:15:00,57.21,57.359,57.43
12-05-2024 03:30:00,57.21,57.32,57.43
12-05-2024 03:45:00,57.21,57.346,57.43
12-05-2024 04:00:00,57.21,57.32,57.43
12-05-2024 04:15:00,57.21,57.32,57.43
12-05-2024 04:30:00,57.21,57.32,57.43
12-05-2024 04:45:00,57.21,57.32,57.43
12-05-2024 05:00:00,57.21,57.32,57.43
12-05-2024 05:15:00,57.234,57.32,57.43
12-05-2024 05:30:00,57.21,57.32,57.43
12-05-2024 05:45:00,57.21,57.32,57.43
12-05-2024 06:00:00,57.21,57.32,57.43
12-05-2024 06:15:00,57.21,57.32,57.43
12-05-2024 06:30:00,57.21,57.32,57.43
12-05-2024 06:45:00,57.21,57.32,57.43
12-05-2024 07:00:00,57.21,57.32,57.43
12-05-2024 07:15:00,57.21,57.32,57.43
12-05-2024 07:30:00,45.877,46.008,46.06
12-05-2024 07:45:00,-0.56,-0.36,-0.345
12-05-2024 08:00:00,-14.304,-10.765,-12.146
12-05-2024 08:15:00,-25.135,-25.034,-24.938
12-05-2024 08:30:00,-37.935,-37.914,-37.614
12-05-2024 08:45:00,-56.681,-56.655,-56.609
12-05-2024 09:00:00,-60.51,-60.51,-60.4
12-05-2024 09:15:00,-60.51,-60.51,-60.4
12-05-2024 09:30:00,-60.51,-60.51,-60.4
12-05-2024 09:45:00,-59.618,-59.634,-59.622
12-05-2024 10:00:00,-55.653,-55.826,-55.61
12-05-2024 10:15:00,-50.5,-50.423,-50.541
12-05-2024 10:30:00,-44.575,-44.451,-45.029
12-05-2024 10:45:00,-38.306,-38.235,-38.378
12-05-2024 11:00:00,-30.922,-31.072,-31.123
12-05-2024 11:15:00,-23.506,-23.599,-23.746
12-05-2024 11:30:00,-15.683,-15.757,-15.897
12-05-2024 11:45:00,-7.432,-7.01,-7.336
12-05-2024 12:00:00,1.922,1.281,1.665
12-05-2024 12:15:00,9.811,9.868,10.074
12-05-2024 12:30:00,18.374,18.305,18.237
12-05-2024 12:45:00,26.185,25.935,25.919
12-05-2024 13:00:00,33.371,33.588,33.555
12-05-2024 13:15:00,40.212,39.853,39.929
12-05-2024 13:30:00,45.982,46.021,45.742
12-05-2024 13:45:00,51.556,51.769,51.603
12-05-2024 14:00:00,56.191,56.436,56.436
12-05-2024 14:15:00,59.261,59.421,59.369
12-05-2024 14:30:00,59.308,59.735,59.655
12-05-2024 14:45:00,59.278,59.75,59.704
12-05-2024 15:00:00,59.284,59.728,59.686
12-05-2024 15:15:00,50.423,49.794,50.776
12-05-2024 15:30:00,32.433,33.389,32.684
12-05-2024 15:45:00,22.086,22.115,21.544
12-05-2024 16:00:00,8.851,8.718,8.493
12-05-2024 16:15:00,-0.41,-0.41,-0.48
12-05-2024 16:30:00,48.436,48.388,48.19
12-05-2024 16:45:00,57.296,57.32,57.038
12-05-2024 17:00:00,57.226,57.32,57.01
12-05-2024 17:15:00,57.25,57.32,57.028
12-05-2024 17:30:00,57.305,57.32,57.01
12-05-2024 17:45:00,57.32,57.32,57.056
12-05-2024 18:00:00,57.32,57.32,57.028
12-05-2024 18:15:00,57.32,57.32,57.07
12-05-2024 18:30:00,57.32,57.32,57.09
12-05-2024 18:45:00,57.32,57.32,57.09
12-05-2024 19:00:00,57.32,57.32,57.09
12-05-2024 19:15:00,57.32,57.32,57.09
12-05-2024 19:30:00,57.32,57.32,57.075
12-05-2024 19:45:00,57.32,57.32,57.07
12-05-2024 20:00:00,57.32,57.32,57.09
12-05-2024 20:15:00,57.32,57.32,57.09
12-05-2024 20:30:00,57.32,57.32,57.09
12-05-2024 20:45:00,57.32,57.32,57.09
12-05-2024 21:00:00,57.32,57.32,57.09
12-05-2024 21:15:00,57.32,57.32,57.09
12-05-2024 21:30:00,57.32,57.32,57.09
12-05-2024 21:45:00,57.32,57.32,57.09
12-05-2024 22:00:00,57.32,57.32,57.022
12-05-2024 22:15:00,57.32,57.32,57.069
12-05-2024 22:30:00,57.32,57.32,57.09
12-05-2024 22:45:00,57.32,57.32,57.09
12-05-2024 23:00:00,57.32,57.32,57.09
12-05-2024 23:15:00,57.32,57.32,57.09
12-05-2024 23:30:00,57.32,57.32,57.09
12-05-2024 23:45:00,57.32,57.32,57.09
12-06-2024 00:00:00,57.32,57.32,57.09
12-06-2024 00:15:00,57.32,57.32,57.048
12-06-2024 00:30:00,57.32,57.32,57.043
12-06-2024 00:45:00,57.32,57.32,57.09
12-06-2024 01:00:00,57.32,57.32,57.04
12-06-2024 01:15:00,57.32,57.32,57.028
12-06-2024 01:30:00,57.32,57.32,57.061
12-06-2024 01:45:00,57.32,57.32,57.061
12-06-2024 02:00:00,57.32,57.32,57.022
12-06-2024 02:15:00,57.32,57.32,57.01
12-06-2024 02:30:00,57.32,57.32,57.064
12-06-2024 02:45:00,57.32,57.32,57.057
12-06-2024 03:00:00,57.32,57.32,57.046
12-06-2024 03:15:00,57.32,57.32,57.056
12-06-2024 03:30:00,57.32,57.32,57.079
12-06-2024 03:45:00,57.32,57.32,57.09
12-06-2024 04:00:00,57.32,57.32,57.09
12-06-2024 04:15:00,57.32,57.32,57.09
12-06-2024 04:30:00,57.32,57.32,57.09
12-06-2024 04:45:00,57.32,57.32,57.09
12-06-2024 05:00:00,57.34,57.32,57.09
12-06-2024 05:15:00,57.366,57.32,57.09
12-06-2024 05:30:00,57.356,57.32,57.09
12-06-2024 05:45:00,57.387,57.32,57.09
12-06-2024 06:00:00,57.345,57.32,57.09
12-06-2024 06:15:00,57.32,57.32,57.09
12-06-2024 06:30:00,57.32,57.32,57.09
12-06-2024 06:45:00,57.32,57.32,57.09
12-06-2024 07:00:00,57.32,57.32,57.09
12-06-2024 07:15:00,57.32,57.32,57.09
12-06-2024 07:30:00,34.42,34.309,34.17
12-06-2024 07:45:00,-0.269,-0.548,-0.521
12-06-2024 08:00:00,-8.849,-10.983,-8.518
12-06-2024 08:15:00,-24.734,-24.901,-24.884
12-06-2024 08:30:00,-37.874,-39.035,-38.921
12-06-2024 08:45:00,-56.074,-55.775,-56.752
12-06-2024 09:00:00,-60.653,-60.407,-60.51
12-06-2024 09:15:00,-60.688,-60.661,-60.51
12-06-2024 09:30:00,-60.671,-60.7,-60.51
12-06-2024 09:45:00,-59.774,-59.858,-59.768
12-06-2024 10:00:00,-55.575,-55.833,-55.546
12-06-2024 10:15:00,-50.858,-50.831,-50.518
12-06-2024 10:30:00,-44.702,-45.123,-44.76
12-06-2024 10:45:00,-38.548,-38.537,-38.43
12-06-2024 11:00:00,-31.567,-31.82,-31.381
12-06-2024 11:15:00,-23.751,-23.664,-24.395
12-06-2024 11:30:00,-15.786,-16.404,-16.174
12-06-2024 11:45:00,-7.265,-7.947,-7.791
12-06-2024 12:00:00,0.673,1.175,1.363
12-06-2024 12:15:00,8.842,9.93,9.675
12-06-2024 12:30:00,18.577,18.617,18.637
12-06-2024 12:45:00,26.154,26.189,25.573
12-06-2024 13:00:00,33.466,33.871,33.3
12-06-2024 13:15:00,39.613,39.925,39.863
12-06-2024 13:30:00,45.277,46.211,45.663
12-06-2024 13:45:00,51.733,51.57,51.564
12-06-2024 14:00:00,56.587,56.295,56.356
12-06-2024 14:15:00,59.477,59.56,58.89
12-06-2024 14:30:00,59.75,59.56,59.02
12-06-2024 14:45:00,59.75,59.56,59.02
12-06-2024 15:00:00,59.75,59.56,59.02
12-06-2024 15:15:00,49.645,48.569,49.49
12-06-2024 15:30:00,33.409,33.998,33.722
